country,season_start,team_a,team_b,is_rival
Italy,2018,cagliari,spal,TRUE
Italy,2018,cagliari,chievo verona,TRUE
Italy,2019,bologna,cagliari,TRUE
Italy,2019,bologna,udinese,TRUE
Italy,2019,bologna,genoa,TRUE
Italy,2019,bologna,sassuolo,TRUE
Italy,2019,bologna,spal,TRUE
Italy,2019,cagliari,udinese,TRUE
Italy,2019,cagliari,genoa,TRUE
Italy,2019,cagliari,spal,TRUE
Italy,2019,cagliari,sassuolo,TRUE
Italy,2020,bologna,udinese,TRUE
Italy,2020,bologna,cagliari,TRUE
Italy,2020,bologna,genoa,TRUE
Italy,2020,bologna,sassuolo,TRUE
Italy,2020,bologna,sampdoria,TRUE
Italy,2020,cagliari,udinese,TRUE
Italy,2020,genoa,udinese,TRUE
Italy,2020,sassuolo,udinese,TRUE
Italy,2020,sampdoria,udinese,TRUE
England,2018,newcastle,west ham,TRUE
England,2018,newcastle,watford,TRUE
Italy,2018,sassuolo,spal,TRUE
Spain,2018,celta de vigo,real sociedad,TRUE
Spain,2018,cd leganés,celta de vigo,TRUE
Spain,2018,athletic club,celta de vigo,TRUE
Spain,2018,celta de vigo,real betis,TRUE
Spain,2018,celta de vigo,girona,TRUE
Spain,2018,athletic club,real sociedad,TRUE
Spain,2018,cd leganés,real sociedad,TRUE
Spain,2018,real betis,real sociedad,TRUE
England,2018,watford,west ham,TRUE
England,2018,brighton,watford,TRUE
England,2018,brighton,west ham,TRUE
England,2017,brighton,southampton,TRUE
Italy,2019,genoa,udinese,TRUE
Italy,2019,sassuolo,udinese,TRUE
Italy,2019,spal,udinese,TRUE
Germany,2017,augsburg,hertha bsc,TRUE
Germany,2017,augsburg,werder bremen,TRUE
Germany,2017,augsburg,hannover 96,TRUE
Germany,2017,augsburg,mainz,TRUE
Germany,2017,augsburg,frankfurt,TRUE
Germany,2017,hertha bsc,werder bremen,TRUE
Germany,2017,hannover 96,hertha bsc,TRUE
Germany,2017,frankfurt,hertha bsc,TRUE
Germany,2017,hertha bsc,mainz,TRUE
England,2021,crystal palace,newcastle,TRUE
England,2021,brighton,crystal palace,TRUE
England,2021,crystal palace,southampton,TRUE
England,2021,crystal palace,everton,TRUE
England,2021,crystal palace,west ham,TRUE
England,2021,brighton,newcastle,TRUE
England,2021,newcastle,southampton,TRUE
England,2021,newcastle,west ham,TRUE
England,2021,everton,newcastle,TRUE
Germany,2017,leipzig,stuttgart,TRUE
Germany,2017,frankfurt,leipzig,TRUE
Germany,2017,dortmund,leipzig,TRUE
Italy,2020,cagliari,genoa,TRUE
Italy,2020,cagliari,sassuolo,TRUE
France,2017,dijon,montpellier,TRUE
France,2017,dijon,fc nantes,TRUE
France,2017,fc nantes,montpellier,TRUE
France,2017,montpellier,stade rennais,TRUE
Italy,2021,bologna,udinese,TRUE
Italy,2021,bologna,cagliari,TRUE
Italy,2021,bologna,genoa,TRUE
Italy,2021,bologna,sassuolo,TRUE
Italy,2021,bologna,sampdoria,TRUE
Italy,2021,cagliari,udinese,TRUE
Italy,2021,genoa,udinese,TRUE
Italy,2021,sassuolo,udinese,TRUE
Italy,2021,sampdoria,udinese,TRUE
Germany,2017,frankfurt,stuttgart,TRUE
Germany,2017,frankfurt,werder bremen,TRUE
Germany,2017,stuttgart,werder bremen,TRUE
England,2020,crystal palace,newcastle,TRUE
England,2020,crystal palace,west ham,TRUE
