country,season,country_2,seller_raw,buyer_raw,team_name,league,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start,buyer_clean,seller_clean,rivalry_proximity,pos_clean,seller_norm,buyer_norm
England,2018,Germany,leverkusen,arsenal fc,Arsenal FC,Premier League,Arrivals,Bernd Leno,https://www.transfermarkt.com/bernd-leno/profil/spieler/72476,Goalkeeper,26,Germany,Leverkusen,Bundesliga,2.5e+07,FALSE,"",Summer,52,36,0,3195,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,leverkusen,,goalkeeper,leverkusen,arsenal
England,2018,England,plymouth,arsenal fc,Arsenal FC,Premier League,Arrivals,Matt Macey,https://www.transfermarkt.com/matt-macey/profil/spieler/220491,Goalkeeper,24,England,Plymouth,League One,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,plymouth,,goalkeeper,plymouth,arsenal
England,2018,England,reading,arsenal fc,Arsenal FC,Premier League,Arrivals,Emiliano Martínez,https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873,Goalkeeper,26,Argentina,Reading,Championship,,TRUE,End of loan 31/05/2019,Summer,12,1,0,90,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,reading,,goalkeeper,reading,arsenal
England,2018,Spain,real betis,arsenal fc,Arsenal FC,Premier League,Arrivals,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,Right Winger,26,Costa Rica,Real Betis,LaLiga,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,real betis,,right winger,real betis,arsenal
England,2018,Italy,sampdoria,arsenal fc,Arsenal FC,Premier League,Arrivals,Lucas Torreira,https://www.transfermarkt.com/lucas-torreira/profil/spieler/318077,Defensive Midfield,22,Uruguay,Sampdoria,Serie A,28650000,FALSE,"",Summer,52,50,2,3224,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,sampdoria,,defensive midfield,sampdoria,arsenal
England,2018,Belgium,sint-truiden,arsenal fc,Arsenal FC,Premier League,Arrivals,Chuba Akpom,https://www.transfermarkt.com/chuba-akpom/profil/spieler/197642,Centre-Forward,22,England,Sint-Truiden,Jupiler Pro League,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,sint-truiden,,centre-forward,sinttruiden,arsenal
England,2018,Germany,stuttgart,arsenal fc,Arsenal FC,Premier League,Arrivals,Takuma Asano,https://www.transfermarkt.com/takuma-asano/profil/spieler/245744,Right Winger,23,Japan,Stuttgart,Bundesliga,,TRUE,End of loan 30/06/2018,Summer,0,0,0,0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,stuttgart,,right winger,stuttgart,arsenal
England,2018,England,arsenal,west ham united,West Ham United,Premier League,Arrivals,Lucas Pérez,https://www.transfermarkt.com/lucas-perez/profil/spieler/73185,Centre-Forward,29,Spain,Arsenal,Premier League,4400000,FALSE,"",Summer,29,19,6,715,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018,west ham,arsenal,0.473684210526316,centre-forward,arsenal,west ham
England,2018,England,arsenal,west ham united,West Ham United,Premier League,Arrivals,Jack Wilshere,https://www.transfermarkt.com/jack-wilshere/profil/spieler/74223,Central Midfield,26,England,Arsenal,Premier League,0,FALSE,"",Summer,9,8,0,389,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018,west ham,arsenal,0.473684210526316,central midfield,arsenal,west ham
England,2018,England,aston villa,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Tyrone Mings,https://www.transfermarkt.com/tyrone-mings/profil/spieler/253677,Centre-Back,26,England,Aston Villa,Championship,,TRUE,End of loan 31/05/2019,Summer,16,7,0,321,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,aston villa,,centre-back,aston villa,bournemouth
