country,season,buyer_clean,seller_clean,player_name,pos_clean,non_rival_options,global_pool_options,total_rival_options
Italy,2024,juventus,atalanta,Teun Koopmeiners,attacking midfield,0,11,2
Italy,2024,cagliari,fc empoli,Sebastiano Luperto,centre-back,5,49,2
Italy,2024,atalanta,inter,Juan Cuadrado,right midfield,0,1,1
Italy,2024,roma,juventus,Matías Soulé,right winger,2,18,1
Italy,2024,atalanta,roma,Rui Patrício,goalkeeper,0,12,0
Italy,2024,como,torino,Ben Lhassine Kone,central midfield,1,26,0
Spain,2018,valencia,atlético,Kévin Gameiro,centre-forward,4,30,0
Spain,2018,girona,rayo vallecano,Johan Mojica,left-back,4,14,1
Spain,2018,real betis,real sociedad,Sergio Canales,attacking midfield,0,10,0
Spain,2018,getafe,sd eibar,Iván Alejo,right-back,4,19,2
Spain,2018,getafe,sevilla fc,David Soria,goalkeeper,4,23,1
Spain,2019,real sociedad,athletic club,Álex Remiro,goalkeeper,4,22,2
Spain,2019,barcelona,atlético,Antoine Griezmann,second striker,0,1,0
Spain,2019,levante,ca osasuna,Carlos Clerc,left-back,4,21,2
Spain,2019,ca osasuna,levante,Rubén García,right winger,2,17,2
Spain,2019,atlético,real madrid,Marcos Llorente,right-back,1,17,0
Spain,2020,atlético,barcelona,Luis Suárez,centre-forward,4,34,3
Spain,2020,ca osasuna,real sociedad,Raúl Navas,centre-back,2,21,1
Spain,2020,elche cf,real valladolid,Luismi Sánchez,defensive midfield,2,13,0
Spain,2020,getafe,villarreal,Enes Ünal,centre-forward,3,34,4
Spain,2021,elche cf,alavés,Lucas Pérez,centre-forward,3,27,1
Spain,2021,levante,granada cf,Roberto Soldado,centre-forward,3,27,1
Spain,2021,villarreal,real betis,Aïssa Mandi,centre-back,3,38,1
Spain,2022,rayo vallecano,cádiz cf,Salvi Sánchez,right winger,2,11,0
Spain,2022,valencia,getafe,Hugo Duro,centre-forward,6,47,2
Spain,2022,espanyol,rcd mallorca,Brian Oliván,left-back,2,17,2
Spain,2022,real betis,real sociedad,Willian José,centre-forward,7,47,1
Spain,2022,girona,real valladolid,Toni Villa,left winger,3,15,0
Spain,2022,espanyol,ud almería,José Carlos Lazo,left winger,3,15,0
Spain,2023,atlético,barcelona,Antoine Griezmann,second striker,1,3,0
Spain,2023,rayo vallecano,ca osasuna,Aridane Hernández,centre-back,5,39,2
Spain,2023,rayo vallecano,cádiz cf,Alfonso Espino,left-back,4,15,1
Spain,2023,ca osasuna,rayo vallecano,Alejandro Catena,centre-back,6,39,1
Spain,2023,rcd mallorca,ud almería,Samú Costa,defensive midfield,5,30,0
Spain,2024,villarreal,real betis,Ayoze Pérez,centre-forward,5,36,2
