country,league,season,team_a,team_b,pos_diff,elo_diff,is_rival
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Leicester,999,53.4841308600001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Newcastle,999,5.50622558000009,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Southampton,999,16.48400879,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Watford,999,4.32055664000018,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,West Ham,999,0.884643549999964,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Wolves,999,59.6326904299999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Fulham,999,58.3088378999999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Huddersfield,999,15.0487060500002,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Newcastle,999,87.9530029299999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Southampton,999,65.9627685599999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Watford,999,86.76733399,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,West Ham,999,83.3314208999998,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Wolves,999,22.8140869199999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Chelsea,Liverpool,999,74.8061523499998,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Chelsea,Man Utd,999,5.71459960999982,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Chelsea,Tottenham,999,81.76953125,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Crystal Palace,Everton,999,14.32971191,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Crystal Palace,Fulham,999,59.5909423800001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Crystal Palace,Leicester,999,18.0311279299999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Crystal Palace,Newcastle,999,29.9467773500001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Crystal Palace,Southampton,999,51.9370117200001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Crystal Palace,Watford,999,31.13244629,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Crystal Palace,West Ham,999,34.5683593800002,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Crystal Palace,Wolves,999,95.0856933600001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Everton,Fulham,999,73.9206542900001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Everton,Leicester,999,3.7014160199999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Everton,Newcastle,999,44.2764892600001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Everton,Southampton,999,66.2667236300001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Everton,Watford,999,45.4621582,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Everton,West Ham,999,48.8980712900002,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Fulham,Huddersfield,999,73.35754395,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Fulham,Leicester,999,77.62207031,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Fulham,Newcastle,999,29.6441650300001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Fulham,Southampton,999,7.65393066000002,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Fulham,Watford,999,28.4584960900002,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Fulham,West Ham,999,25.0225829999999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Fulham,Wolves,999,35.4947509799999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Huddersfield,Southampton,999,81.0114746100001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Huddersfield,West Ham,999,98.38012695,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Huddersfield,Wolves,999,37.8627929700001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Leicester,Newcastle,999,47.97790528,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Leicester,Southampton,999,69.96813965,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Leicester,Watford,999,49.1635742199999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Leicester,West Ham,999,52.5994873100001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Liverpool,Man City,999,48.3624267600001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Liverpool,Man Utd,999,69.09155274,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Liverpool,Tottenham,999,6.96337890000018,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Man City,Tottenham,999,41.3990478599999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Man Utd,Tottenham,999,76.0549316400002,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Newcastle,Southampton,999,21.9902343700001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Newcastle,Watford,999,1.18566893999991,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Newcastle,West Ham,999,4.62158203000013,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Newcastle,Wolves,999,65.13891601,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Southampton,Watford,999,20.8045654300001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Southampton,West Ham,999,17.3686523399999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Southampton,Wolves,999,43.14868164,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Watford,West Ham,999,3.43591309000021,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Watford,Wolves,999,63.9532470700001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,West Ham,Wolves,999,60.5173339799999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Arsenal,Chelsea,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Arsenal,Man Utd,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Arsenal,Tottenham,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Arsenal,Wolves,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Bournemouth,Burnley,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Bournemouth,Crystal Palace,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Bournemouth,Newcastle,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Bournemouth,Southampton,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Brighton,Burnley,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Brighton,Cardiff,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Brighton,Fulham,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Brighton,Southampton,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Burnley,Newcastle,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Burnley,Southampton,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Cardiff,Fulham,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Cardiff,Huddersfield,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Cardiff,Southampton,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Chelsea,Liverpool,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Chelsea,Man City,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Chelsea,Tottenham,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Crystal Palace,Newcastle,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Crystal Palace,Watford,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Crystal Palace,West Ham,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Everton,Leicester,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Everton,Man Utd,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Everton,West Ham,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Everton,Wolves,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Fulham,Huddersfield,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Leicester,Watford,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Leicester,West Ham,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Leicester,Wolves,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Liverpool,Man City,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Liverpool,Tottenham,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Man Utd,Tottenham,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Man Utd,Wolves,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Newcastle,Watford,2,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2018,Watford,West Ham,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Arsenal,Chelsea,999,11.6108398499998,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Arsenal,Man Utd,999,35.5402832,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Arsenal,Tottenham,999,12.8673095700001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Aston Villa,Bournemouth,999,70.5982666099999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Aston Villa,Brighton,999,8.43286132999992,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Aston Villa,Burnley,999,75.3900146499998,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Aston Villa,Newcastle,999,94.8608398499998,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Aston Villa,Norwich,999,17.53198243,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Aston Villa,Sheff Utd,999,18.8482666099999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Aston Villa,Southampton,999,63.3712158199999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Aston Villa,Watford,999,39.3981933599998,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Brighton,999,62.16540528,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Burnley,999,4.7917480399999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Crystal Palace,999,64.0374755800001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Everton,999,75.3099365200001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Leicester,999,71.3015136700001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Newcastle,999,24.2625732399999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Norwich,999,53.0662841799999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Sheff Utd,999,51.75,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Southampton,999,7.22705079000002,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Watford,999,31.2000732500001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,West Ham,999,55.71875,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Bournemouth,Wolves,999,50.1011962800001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Brighton,Burnley,999,66.9571533199999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Brighton,Newcastle,999,86.4279785199999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Brighton,Norwich,999,9.09912110000005,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Brighton,Sheff Utd,999,10.41540528,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Brighton,Southampton,999,54.9383544899999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Brighton,Watford,999,30.9653320299999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,Crystal Palace,999,59.2457275400002,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,Everton,999,70.5181884800002,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,Leicester,999,66.5097656300002,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,Newcastle,999,19.4708252,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,Norwich,999,57.8580322199998,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,Sheff Utd,999,56.5417480399999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,Southampton,999,12.0187988299999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,Watford,999,35.99182129,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,West Ham,999,50.9270019600001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Burnley,Wolves,999,45.3094482400002,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Chelsea,Man Utd,999,23.9294433500002,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Chelsea,Tottenham,999,24.4781494199999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Crystal Palace,Everton,999,11.27246094,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Crystal Palace,Leicester,999,7.26403808999999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Crystal Palace,Man Utd,999,87.5363769599999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Crystal Palace,Newcastle,999,39.7749023400002,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Crystal Palace,Southampton,999,71.2645263700001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Crystal Palace,Watford,999,95.2375488300001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Crystal Palace,West Ham,999,8.31872558000009,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Crystal Palace,Wolves,999,13.9362793,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Everton,Leicester,999,4.00842284999999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Everton,Man Utd,999,76.2639160199999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Everton,Newcastle,999,51.0473632800001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Everton,Southampton,999,82.5369873100001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Everton,West Ham,999,19.5911865200001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Everton,Wolves,999,25.20874024,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Leicester,Man Utd,999,80.2723388699999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Leicester,Newcastle,999,47.0389404300001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Leicester,Southampton,999,78.5285644600001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Leicester,West Ham,999,15.5827636700001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Leicester,Wolves,999,21.20031739,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Liverpool,Man City,999,14.2280273399997,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Man Utd,Tottenham,999,48.4075927700001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Man Utd,West Ham,999,95.85510254,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Newcastle,Norwich,999,77.3288574199999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Newcastle,Sheff Utd,999,76.0125732399999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Newcastle,Southampton,999,31.48962403,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Newcastle,Watford,999,55.46264649,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Newcastle,West Ham,999,31.4561767600001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Newcastle,Wolves,999,25.8386230400001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Norwich,Sheff Utd,999,1.31628417999991,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Norwich,Southampton,999,45.8392333899999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Norwich,Watford,999,21.8662109299999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Sheff Utd,Southampton,999,44.52294921,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Sheff Utd,Watford,999,20.5499267499999,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Southampton,Watford,999,23.97302246,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Southampton,West Ham,999,62.94580079,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Southampton,Wolves,999,57.3282470700001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Watford,West Ham,999,86.9188232500001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,Watford,Wolves,999,81.3012695300001,TRUE
England,Games of Matchday 38 Premier League 19/20,2018,West Ham,Wolves,999,5.61755371999993,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Arsenal,Burnley,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Arsenal,Sheff Utd,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Arsenal,Tottenham,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Arsenal,Wolves,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Aston Villa,Bournemouth,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Aston Villa,Brighton,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Aston Villa,Watford,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Aston Villa,West Ham,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Bournemouth,Norwich,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Bournemouth,Watford,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Bournemouth,West Ham,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Brighton,Crystal Palace,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Brighton,Newcastle,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Brighton,West Ham,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Burnley,Everton,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Burnley,Sheff Utd,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Burnley,Southampton,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Chelsea,Leicester,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Chelsea,Man City,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Chelsea,Man Utd,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Chelsea,Tottenham,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Crystal Palace,Everton,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Crystal Palace,Newcastle,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Crystal Palace,West Ham,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Everton,Newcastle,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Everton,Southampton,1,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Leicester,Man Utd,2,999,TRUE
England,Games of Matchday 38 Premier League 19/20,2019,Leicester,Tottenham,1,999,TRUE
