team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start
Manchester City,Premier League,England,2018,Arrivals,Riyad Mahrez,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424,Right Winger,27,Algeria,Leicester,Premier League,England,67800000,FALSE,"",Summer,60,44,12,2551,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Pablo Maffeo,https://www.transfermarkt.com/pablo-maffeo/profil/spieler/251876,Right-Back,20,Argentina,Girona,LaLiga,Spain,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Angus Gunn,https://www.transfermarkt.com/angus-gunn/profil/spieler/201574,Goalkeeper,22,Scotland,Southampton,Premier League,England,11300000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Jason Denayer,https://www.transfermarkt.com/jason-denayer/profil/spieler/277114,Centre-Back,23,Belgium,Lyon,Ligue 1,France,1e+07,FALSE,"",Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Pablo Maffeo,https://www.transfermarkt.com/pablo-maffeo/profil/spieler/251876,Right-Back,20,Argentina,Stuttgart,Bundesliga,Germany,9e+06,FALSE,"",Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Joe Hart,https://www.transfermarkt.com/joe-hart/profil/spieler/40204,Goalkeeper,31,England,Burnley,Premier League,England,3900000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Patrick Roberts,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452,Right Winger,21,England,Girona,LaLiga,Spain,,TRUE,loan transfer,Summer,0,0,0,0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Manu García,https://www.transfermarkt.com/manu-garcia/profil/spieler/277118,Attacking Midfield,20,Spain,Toulouse,Ligue 1,France,,TRUE,loan transfer,Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Alisson,https://www.transfermarkt.com/alisson/profil/spieler/105470,Goalkeeper,25,Brazil,Roma,Serie A,Italy,72500000,FALSE,"",Summer,51,51,0,4590,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Naby Keïta,https://www.transfermarkt.com/naby-keita/profil/spieler/302215,Central Midfield,23,Guinea,Leipzig,Bundesliga,Germany,6e+07,FALSE,"",Summer,43,33,3,1819,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Fabinho,https://www.transfermarkt.com/fabinho/profil/spieler/225693,Defensive Midfield,24,Brazil,Monaco,Ligue 1,Monaco,4.5e+07,FALSE,"",Summer,49,41,1,2917,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Nathaniel Clyne,https://www.transfermarkt.com/nathaniel-clyne/profil/spieler/85177,Right-Back,28,England,Bournemouth,Premier League,England,,TRUE,End of loan 31/05/2019,Summer,7,5,0,198,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Divock Origi,https://www.transfermarkt.com/divock-origi/profil/spieler/148368,Centre-Forward,23,Belgium,Wolfsburg,Bundesliga,Germany,,TRUE,End of loan 30/06/2018,Summer,36,21,7,674,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Departures,Danny Ward,https://www.transfermarkt.com/danny-ward/profil/spieler/203026,Goalkeeper,25,Wales,Leicester,Premier League,England,1.4e+07,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Departures,Ragnar Klavan,https://www.transfermarkt.com/ragnar-klavan/profil/spieler/26669,Centre-Back,32,Estonia,Cagliari,Serie A,Italy,1520000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Departures,Marko Grujić,https://www.transfermarkt.com/marko-grujic/profil/spieler/222813,Defensive Midfield,22,Serbia,Hertha BSC,Bundesliga,Germany,1e+06,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Departures,Emre Can,https://www.transfermarkt.com/emre-can/profil/spieler/119296,Centre-Back,24,Germany,Juventus,Serie A,Italy,0,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Departures,Danny Ings,https://www.transfermarkt.com/danny-ings/profil/spieler/134294,Centre-Forward,26,England,Southampton,Premier League,England,,TRUE,loan transfer,Summer,0,0,0,0,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Departures,Sheyi Ojo,https://www.transfermarkt.com/sheyi-ojo/profil/spieler/236510,Right Winger,21,England,Stade Reims,Ligue 1,France,,TRUE,loan transfer,Summer,0,0,0,0,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Arrivals,Kepa Arrizabalaga,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,Goalkeeper,23,Spain,Athletic Club,LaLiga,Spain,8e+07,FALSE,"",Summer,58,54,0,4920,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Arrivals,Jorginho,https://www.transfermarkt.com/jorginho/profil/spieler/102017,Defensive Midfield,26,Italy,Napoli,Serie A,Italy,5.7e+07,FALSE,"",Summer,59,54,2,4391,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Arrivals,Rob Green,https://www.transfermarkt.com/rob-green/profil/spieler/11680,Goalkeeper,38,England,Huddersfield,Premier League,England,0,FALSE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Arrivals,Mateo Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,Central Midfield,24,Croatia,Real Madrid,LaLiga,Spain,,TRUE,loan transfer,Summer,57,51,0,3088,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Arrivals,Michy Batshuayi,https://www.transfermarkt.com/michy-batshuayi/profil/spieler/179184,Centre-Forward,24,Belgium,Dortmund,Bundesliga,Germany,,TRUE,End of loan 30/06/2018,Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Arrivals,Kurt Zouma,https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509,Centre-Back,24,France,Everton,Premier League,England,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Arrivals,Kenedy,https://www.transfermarkt.com/kenedy/profil/spieler/281404,Left Winger,23,Brazil,Newcastle,Premier League,England,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Departures,Thibaut Courtois,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,Goalkeeper,26,Belgium,Real Madrid,LaLiga,Spain,3.5e+07,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Departures,Kurt Zouma,https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509,Centre-Back,23,France,Everton,Premier League,England,7900000,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Departures,Tiemoué Bakayoko,https://www.transfermarkt.com/tiemoue-bakayoko/profil/spieler/182618,Defensive Midfield,23,France,AC Milan,Serie A,Italy,5e+06,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Departures,Michy Batshuayi,https://www.transfermarkt.com/michy-batshuayi/profil/spieler/179184,Centre-Forward,24,Belgium,Valencia,LaLiga,Spain,3e+06,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Departures,Mario Pašalić,https://www.transfermarkt.com/mario-pasalic/profil/spieler/205938,Central Midfield,23,Croatia,Atalanta,Serie A,Italy,2500000,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Departures,Kenneth Omeruo,https://www.transfermarkt.com/kenneth-omeruo/profil/spieler/131708,Centre-Back,24,Nigeria,CD Leganés,LaLiga,Spain,8e+05,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Departures,Ola Aina,https://www.transfermarkt.com/ola-aina/profil/spieler/236490,Right-Back,21,Nigeria,Torino,Serie A,Italy,6e+05,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Chelsea FC,Premier League,England,2018,Departures,Matt Miazga,https://www.transfermarkt.com/matt-miazga/profil/spieler/245893,Centre-Back,23,United States,FC Nantes,Ligue 1,France,3e+05,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018
Manchester United,Premier League,England,2018,Arrivals,Timothy Fosu-Mensah,https://www.transfermarkt.com/timothy-fosu-mensah/profil/spieler/315131,Right-Back,21,Netherlands,Fulham,Premier League,England,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2018,2018
Manchester United,Premier League,England,2018,Arrivals,Andreas Pereira,https://www.transfermarkt.com/andreas-pereira/profil/spieler/203394,Attacking Midfield,22,Brazil,Valencia,LaLiga,Spain,,TRUE,End of loan 30/06/2018,Summer,33,22,1,906,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2018,2018
Manchester United,Premier League,England,2018,Departures,Timothy Fosu-Mensah,https://www.transfermarkt.com/timothy-fosu-mensah/profil/spieler/315131,Right-Back,20,Netherlands,Fulham,Premier League,England,,TRUE,loan transfer,Summer,0,0,0,0,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Arrivals,Lucas Torreira,https://www.transfermarkt.com/lucas-torreira/profil/spieler/318077,Defensive Midfield,22,Uruguay,Sampdoria,Serie A,Italy,28650000,FALSE,"",Summer,52,50,2,3224,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Arrivals,Bernd Leno,https://www.transfermarkt.com/bernd-leno/profil/spieler/72476,Goalkeeper,26,Germany,Leverkusen,Bundesliga,Germany,2.5e+07,FALSE,"",Summer,52,36,0,3195,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Arrivals,Sokratis,https://www.transfermarkt.com/sokratis/profil/spieler/34322,Centre-Back,30,Greece,Dortmund,Bundesliga,Germany,1.6e+07,FALSE,"",Summer,43,40,3,3375,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Arrivals,Stephan Lichtsteiner,https://www.transfermarkt.com/stephan-lichtsteiner/profil/spieler/2865,Right-Back,34,Switzerland,Juventus,Serie A,Italy,0,FALSE,"",Summer,40,23,1,1733,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Arrivals,Calum Chambers,https://www.transfermarkt.com/calum-chambers/profil/spieler/215118,Centre-Back,24,England,Fulham,Premier League,England,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Arrivals,Lucas Pérez,https://www.transfermarkt.com/lucas-perez/profil/spieler/73185,Centre-Forward,29,Spain,Dep. La Coruña,LaLiga,Spain,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Arrivals,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,Right Winger,26,Costa Rica,Real Betis,LaLiga,Spain,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Arrivals,Takuma Asano,https://www.transfermarkt.com/takuma-asano/profil/spieler/245744,Right Winger,23,Japan,Stuttgart,Bundesliga,Germany,,TRUE,End of loan 30/06/2018,Summer,0,0,0,0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Arrivals,Emiliano Martínez,https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873,Goalkeeper,25,Argentina,Getafe,LaLiga,Spain,,TRUE,End of loan 30/06/2018,Summer,12,1,0,90,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Departures,Lucas Pérez,https://www.transfermarkt.com/lucas-perez/profil/spieler/73185,Centre-Forward,29,Spain,West Ham,Premier League,England,4400000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Departures,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,Right Winger,26,Costa Rica,Frosinone,Serie A,Italy,1500000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Departures,Takuma Asano,https://www.transfermarkt.com/takuma-asano/profil/spieler/245744,Right Winger,23,Japan,Hannover 96,Bundesliga,Germany,1e+06,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Departures,Jack Wilshere,https://www.transfermarkt.com/jack-wilshere/profil/spieler/74223,Central Midfield,26,England,West Ham,Premier League,England,0,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Departures,Santi Cazorla,https://www.transfermarkt.com/santi-cazorla/profil/spieler/15799,Central Midfield,33,Spain,Villarreal,LaLiga,Spain,0,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Departures,Calum Chambers,https://www.transfermarkt.com/calum-chambers/profil/spieler/215118,Centre-Back,23,England,Fulham,Premier League,England,,TRUE,loan transfer,Summer,0,0,0,0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Arsenal FC,Premier League,England,2018,Departures,David Ospina,https://www.transfermarkt.com/david-ospina/profil/spieler/73396,Goalkeeper,29,Colombia,Napoli,Serie A,Italy,,TRUE,loan transfer,Summer,0,0,0,0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018
Everton FC,Premier League,England,2018,Arrivals,Richarlison,https://www.transfermarkt.com/richarlison/profil/spieler/378710,Centre-Forward,21,Brazil,Watford,Premier League,England,39200000,FALSE,"",Summer,38,38,14,2809,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Arrivals,Yerry Mina,https://www.transfermarkt.com/yerry-mina/profil/spieler/289446,Centre-Back,23,Colombia,Barcelona,LaLiga,Spain,30250000,FALSE,"",Summer,21,15,1,1027,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Arrivals,Lucas Digne,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,Left-Back,25,France,Barcelona,LaLiga,Spain,20200000,FALSE,"",Summer,39,37,4,3146,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Arrivals,Kurt Zouma,https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509,Centre-Back,23,France,Chelsea,Premier League,England,7900000,TRUE,"",Summer,38,36,2,2928,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Arrivals,André Gomes,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,Central Midfield,25,Portugal,Barcelona,LaLiga,Spain,2250000,TRUE,"",Summer,29,29,1,2121,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Arrivals,Ademola Lookman,https://www.transfermarkt.com/ademola-lookman/profil/spieler/406040,Second Striker,20,Nigeria,Leipzig,Bundesliga,Germany,,TRUE,End of loan 30/06/2018,Summer,33,24,1,830,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Arrivals,Sandro Ramírez,https://www.transfermarkt.com/sandro-ramirez/profil/spieler/199369,Centre-Forward,22,Spain,Sevilla FC,LaLiga,Spain,,TRUE,End of loan 30/06/2018,Summer,2,1,0,86,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Departures,Davy Klaassen,https://www.transfermarkt.com/davy-klaassen/profil/spieler/182932,Central Midfield,25,Netherlands,Werder Bremen,Bundesliga,Germany,13500000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Departures,Ramiro Funes Mori,https://www.transfermarkt.com/ramiro-funes-mori/profil/spieler/11111,Centre-Back,27,Argentina,Villarreal,LaLiga,Spain,9e+06,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Departures,Kevin Mirallas,https://www.transfermarkt.com/kevin-mirallas/profil/spieler/33639,Right Winger,30,Belgium,Fiorentina,Serie A,Italy,750000,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Departures,Joel Robles,https://www.transfermarkt.com/joel-robles/profil/spieler/101118,Goalkeeper,28,Spain,Real Betis,LaLiga,Spain,0,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Departures,Sandro Ramírez,https://www.transfermarkt.com/sandro-ramirez/profil/spieler/199369,Centre-Forward,23,Spain,Real Sociedad,LaLiga,Spain,,TRUE,loan transfer,Summer,2,1,0,86,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
Everton FC,Premier League,England,2018,Departures,Kurt Zouma,https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509,Centre-Back,24,France,Chelsea,Premier League,England,,TRUE,End of loan 31/05/2019,Summer,38,36,2,2928,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018
West Ham United,Premier League,England,2018,Arrivals,Felipe Anderson,https://www.transfermarkt.com/felipe-anderson/profil/spieler/159372,Right Winger,25,Brazil,Lazio,Serie A,Italy,3.8e+07,FALSE,"",Summer,40,40,10,3199,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Arrivals,Issa Diop,https://www.transfermarkt.com/issa-diop/profil/spieler/272622,Centre-Back,21,France,Toulouse,Ligue 1,France,2.5e+07,FALSE,"",Summer,43,38,2,3420,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Arrivals,Andriy Yarmolenko,https://www.transfermarkt.com/andriy-yarmolenko/profil/spieler/69015,Right Winger,28,Ukraine,Dortmund,Bundesliga,Germany,2e+07,FALSE,"",Summer,11,10,2,550,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Arrivals,Lucas Pérez,https://www.transfermarkt.com/lucas-perez/profil/spieler/73185,Centre-Forward,29,Spain,Arsenal,Premier League,England,4400000,FALSE,"",Summer,29,19,6,715,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Arrivals,Jack Wilshere,https://www.transfermarkt.com/jack-wilshere/profil/spieler/74223,Central Midfield,26,England,Arsenal,Premier League,England,0,FALSE,"",Summer,9,8,0,389,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Arrivals,Ryan Fredericks,https://www.transfermarkt.com/ryan-fredericks/profil/spieler/140191,Right-Back,25,England,Fulham,Premier League,England,0,FALSE,"",Summer,26,18,2,1311,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Arrivals,Carlos Sánchez,https://www.transfermarkt.com/carlos-sanchez/profil/spieler/51226,Defensive Midfield,32,Colombia,Fiorentina,Serie A,Italy,0,FALSE,"",Summer,8,8,0,250,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Arrivals,Reece Oxford,https://www.transfermarkt.com/reece-oxford/profil/spieler/314295,Centre-Back,19,England,Mönchengladbach,Bundesliga,Germany,,TRUE,End of loan 30/06/2018,Summer,0,0,0,0,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Departures,Cheikhou Kouyaté,https://www.transfermarkt.com/cheikhou-kouyate/profil/spieler/66934,Defensive Midfield,28,Senegal,Crystal Palace,Premier League,England,10700000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Departures,Edimilson Fernandes,https://www.transfermarkt.com/edimilson-fernandes/profil/spieler/247555,Defensive Midfield,22,Switzerland,Fiorentina,Serie A,Italy,865000,TRUE,"",Summer,0,0,0,0,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
West Ham United,Premier League,England,2018,Departures,João Mário,https://www.transfermarkt.com/joao-mario/profil/spieler/149729,Attacking Midfield,25,Portugal,Inter,Serie A,Italy,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018
AFC Bournemouth,Premier League,England,2018,Arrivals,Jefferson Lerma,https://www.transfermarkt.com/jefferson-lerma/profil/spieler/262980,Defensive Midfield,23,Colombia,Levante,LaLiga,Spain,30500000,FALSE,"",Summer,34,32,2,2690,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018
AFC Bournemouth,Premier League,England,2018,Arrivals,Diego Rico,https://www.transfermarkt.com/diego-rico/profil/spieler/249513,Left-Back,25,Spain,CD Leganés,LaLiga,Spain,1.5e+07,FALSE,"",Summer,31,16,0,956,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018
AFC Bournemouth,Premier League,England,2018,Arrivals,Max Gradel,https://www.transfermarkt.com/max-gradel/profil/spieler/28140,Left Winger,30,Cote d'Ivoire,Toulouse,Ligue 1,France,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018
AFC Bournemouth,Premier League,England,2018,Arrivals,Harry Arter,https://www.transfermarkt.com/harry-arter/profil/spieler/55742,Central Midfield,29,Ireland,Cardiff,Premier League,Wales,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018
AFC Bournemouth,Premier League,England,2018,Departures,Benik Afobe,https://www.transfermarkt.com/benik-afobe/profil/spieler/110858,Centre-Forward,25,DR Congo,Wolves,Premier League,England,11400000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018
AFC Bournemouth,Premier League,England,2018,Departures,Max Gradel,https://www.transfermarkt.com/max-gradel/profil/spieler/28140,Left Winger,30,Cote d'Ivoire,Toulouse,Ligue 1,France,2e+06,FALSE,"",Summer,,,,,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018
AFC Bournemouth,Premier League,England,2018,Departures,Harry Arter,https://www.transfermarkt.com/harry-arter/profil/spieler/55742,Central Midfield,28,Ireland,Cardiff,Premier League,Wales,,TRUE,loan transfer,Summer,0,0,0,0,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018
AFC Bournemouth,Premier League,England,2018,Departures,Nathaniel Clyne,https://www.transfermarkt.com/nathaniel-clyne/profil/spieler/85177,Right-Back,28,England,Liverpool,Premier League,England,,TRUE,End of loan 31/05/2019,Summer,16,15,0,1235,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018
Wolverhampton Wanderers,Premier League,England,2018,Arrivals,Diogo Jota,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950,Left Winger,21,Portugal,Atlético,LaLiga,Spain,1.4e+07,FALSE,"",Summer,37,37,10,2630,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018
Wolverhampton Wanderers,Premier League,England,2018,Arrivals,Benik Afobe,https://www.transfermarkt.com/benik-afobe/profil/spieler/110858,Centre-Forward,25,DR Congo,Bournemouth,Premier League,England,11400000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018
Wolverhampton Wanderers,Premier League,England,2018,Arrivals,João Moutinho,https://www.transfermarkt.com/joao-moutinho/profil/spieler/29364,Central Midfield,31,Portugal,Monaco,Ligue 1,Monaco,5600000,FALSE,"",Summer,44,44,1,3444,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018
Wolverhampton Wanderers,Premier League,England,2018,Arrivals,Rúben Vinagre,https://www.transfermarkt.com/ruben-vinagre/profil/spieler/357158,Left-Back,19,Portugal,Monaco,Ligue 1,Monaco,2250000,FALSE,"",Summer,43,21,0,991,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018
