country,league,season,team_a,team_b,pos_diff,team_a_low,team_b_low,country_low,league_low
England,Games of Matchday 38 Premier League 18/19,2018,Burnley,Newcastle,2,burnley,newcastle,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Burnley,Southampton,1,burnley,southampton,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Cardiff,Fulham,1,cardiff,fulham,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Cardiff,Huddersfield,2,cardiff,huddersfield,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Cardiff,Southampton,2,cardiff,southampton,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Chelsea,Liverpool,1,chelsea,liverpool,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Chelsea,Man City,2,chelsea,man city,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Chelsea,Tottenham,1,chelsea,tottenham,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Crystal Palace,Newcastle,1,crystal palace,newcastle,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Crystal Palace,Watford,1,crystal palace,watford,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Crystal Palace,West Ham,2,crystal palace,west ham,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Everton,Leicester,1,everton,leicester,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Everton,Man Utd,2,everton,man utd,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Everton,West Ham,2,everton,west ham,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Everton,Wolves,1,everton,wolves,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Fulham,Huddersfield,1,fulham,huddersfield,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Leicester,Watford,2,leicester,watford,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Leicester,West Ham,1,leicester,west ham,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Leicester,Wolves,2,leicester,wolves,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Liverpool,Man City,1,liverpool,man city,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Liverpool,Tottenham,2,liverpool,tottenham,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Man Utd,Tottenham,2,man utd,tottenham,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Man Utd,Wolves,1,man utd,wolves,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Newcastle,Watford,2,newcastle,watford,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 18/19,2018,Watford,West Ham,1,watford,west ham,england,games of matchday 38 premier league 18/19
England,Games of Matchday 38 Premier League 19/20,2019,Arsenal,Burnley,2,arsenal,burnley,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Arsenal,Sheff Utd,1,arsenal,sheff utd,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Arsenal,Tottenham,2,arsenal,tottenham,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Arsenal,Wolves,1,arsenal,wolves,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Aston Villa,Bournemouth,1,aston villa,bournemouth,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Aston Villa,Brighton,2,aston villa,brighton,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Aston Villa,Watford,2,aston villa,watford,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Aston Villa,West Ham,1,aston villa,west ham,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Bournemouth,Norwich,2,bournemouth,norwich,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Bournemouth,Watford,1,bournemouth,watford,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Bournemouth,West Ham,2,bournemouth,west ham,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Brighton,Crystal Palace,1,brighton,crystal palace,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Brighton,Newcastle,2,brighton,newcastle,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Brighton,West Ham,1,brighton,west ham,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Burnley,Everton,2,burnley,everton,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Burnley,Sheff Utd,1,burnley,sheff utd,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Burnley,Southampton,1,burnley,southampton,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Chelsea,Leicester,1,chelsea,leicester,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Chelsea,Man City,2,chelsea,man city,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Chelsea,Man Utd,1,chelsea,man utd,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Chelsea,Tottenham,2,chelsea,tottenham,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Crystal Palace,Everton,2,crystal palace,everton,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Crystal Palace,Newcastle,1,crystal palace,newcastle,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Crystal Palace,West Ham,2,crystal palace,west ham,england,games of matchday 38 premier league 19/20
England,Games of Matchday 38 Premier League 19/20,2019,Everton,Newcastle,1,everton,newcastle,england,games of matchday 38 premier league 19/20
